466,Bryan,Shaw,"",3.09,1.21,67,0,543766
468,Joaquin,Benoit,"",3.50,1.24,54,5,276542
469,Tyler,Duffey,6,4.17,1.34,92,"",608648
470,Jake,Barrett,"",3.94,1.22,62,6,545332
473,Tyler,Clippard,"",3.32,1.23,70,0,461325
474,Ross,Stripling,5,3.87,1.28,76,"",548389
475,Jason,Grilli,"",3.83,1.28,60,3,276351
476,Scott,Feldman,"",4.14,1.35,87,0,444857
477,James,Shields,9,4.67,1.45,144,"",448306
478,Wily,Peralta,8,4.50,1.42,122,"",503449
479,Chad,Green,4,4.26,1.33,98,"",643338
480,Dan,Otero,"",3.14,1.11,50,0,519096
481,Adam,Warren,"",3.60,1.24,66,0,476589
482,Kyle,Gibson,8,4.39,1.41,120,"",502043
483,Andrew,Cashner,7,4.47,1.39,111,"",488768
486,Ariel,Miranda,6,4.23,1.28,75,"",664641
487,Corey,Knebel,"",3.67,1.24,62,4,608349
490,Huston,Street,"",3.83,1.23,34,10,434718
492,Shelby,Miller,7,4.41,1.39,112,"",571946
493,Jake,Peavy,6,4.25,1.36,90,"",408241
494,Trevor,Cahill,"",4.30,1.33,87,0,502239
495,Steve,Cishek,"",3.24,1.18,52,3,518553
496,Alex,Meyer,6,4.54,1.43,107,"",543542
501,Jason,Vargas,7,4.39,1.35,100,"",450306
502,Jeremy,Jeffress,"",2.95,1.25,46,2,502026
513,Mauricio,Cabrera,"",3.71,1.33,45,5,606291
515,Josh,Collmenter,"",3.89,1.25,59,0,518567
516,Matt,Bowman,"",3.60,1.23,57,0,621199
517,A.J.,Griffin,5,4.50,1.32,82,"",456167
519,Jered,Weaver,8,4.64,1.36,100,"",450308
525,Jesse,Chavez,"",4.41,1.36,85,0,445926
526,German,Marquez,7,4.50,1.43,93,"",608566
527,Matt,Wisler,5,4.41,1.32,77,"",605538
528,Robert,Stephenson,7,4.40,1.46,104,"",596112
530,Clayton,Richard,"",4.07,1.43,83,0,453385
531,Martin,Perez,9,4.47,1.43,105,"",527048
534,Albert,Suarez,5,4.32,1.35,77,"",544150
537,Christian,Friedrich,6,4.53,1.44,110,"",543184
538,Daniel,Hudson,"",4.05,1.30,58,0,543339
539,Shawn,Tolleson,"",3.75,1.20,50,0,474521
540,Hyun-Jin,Ryu,3,3.45,1.25,50,"",547943
543,Joe,Smith,"",3.57,1.24,45,1,501925
545,Mike,Clevinger,5,4.50,1.42,85,"",605182
548,Brad,Boxberger,"",3.91,1.36,54,2,502202
551,Zack,Wheeler,3,3.60,1.33,57,"",554430
553,Braden,Shipley,5,4.50,1.36,83,"",640463
556,Daniel,Mengden,5,4.44,1.39,68,"",596043
557,Doug,Fister,7,4.47,1.38,80,"",450729
559,Jesse,Hahn,5,4.06,1.39,67,"",534910
560,Joakim,Soria,"",3.75,1.37,60,2,465657
