RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
322,Glen,Perkins,Min,RP,FA,21,1,3.86,1.19,0
323,Boone,Logan,Cle,RP,FA,48,2,3.79,1.21,4
324,Peter,Moylan,FA,RP,FA,26,2,3.86,1.34,0
325,Casey,Janssen,SD,RP,FA,--,--,--,--,--
326,Carlos,Villanueva,FA,RP,FA,61,3,4.98,1.29,0
327,Pat,Neshek,Phi,RP,FA,48,3,3.29,1,20
328,Edward,Mujica,Det,RP,FA,12,1,4.74,1.32,0
329,Nick,Masset,Wsh,RP,FA,--,--,--,--,--
330,Mike,Pelfrey,Det,RP,FA,59,5,5.12,1.59,0
331,Mark,Lowe,Det,RP,FA,45,2,5.25,1.42,11
332,Matt,Albers,Wsh,RP,FA,22,1,5.06,1.44,0
333,Matt,Garza,Mil,SP,FA,84,5,4.66,1.44,0
334,Eric,O'Flaherty,Atl,RP,FA,27,1,5.81,1.68,0
335,Eric,Stults,Atl,SP,FA,--,--,--,--,--
336,Cesar,Jimenez,Mil,RP,FA,--,--,--,--,--
337,Ubaldo,Jimenez,Bal,SP,FA,125,7,4.8,1.47,0
338,John,Danks,Atl,RP,FA,18,1,4.85,1.42,0
339,Luke,Hochevar,FA,RP,FA,53,2,3.78,1.14,10
340,Adam,Miller,Pit,RP,FA,--,--,--,--,--
341,Tony,Sipp,Hou,RP,FA,57,2,4.13,1.25,13
342,Franklin,Morales,Tor,RP,FA,--,--,--,--,--
343,Ross,Ohlendorf,FA,RP,FA,--,--,--,--,--
344,Alfredo,Simon,FA,RP,FA,40,2,5.7,1.55,0
345,Tim,Lincecum,FA,SP,FA,--,--,--,--,--
346,Joe,Smith,Tor,RP,FA,39,2,3.42,1.22,17
347,Brandon,Morrow,LAD,RP,FA,16,1,5.48,1.65,0
348,Zack,Segovia,SD,SP,FA,--,--,--,--,--
349,Julio,DePaula,Ari,RP,FA,--,--,--,--,--
350,Kyle,Kendrick,Bos,SP,FA,--,--,--,--,--
351,Jo-Jo,Reyes,Mia,"SP,",FA,--,--,--,--,--
352,Manny,Parra,ChC,RP,FA,--,--,--,--,--
353,Joe,Thatcher,Cle,RP,FA,--,--,--,--,--
354,Aaron,Laffey,Wsh,RP,FA,--,--,--,--,--
355,Joba,Chamberlain,Mil,RP,FA,--,--,--,--,--
356,Radhames,Liz,Pit,RP,FA,--,--,--,--,--
357,Chris,Volstad,Atl,RP,FA,--,--,--,--,--
358,Ross,Detwiler,Oak,"RP,",FA,25,2,4.97,1.5,0
359,Jerry,Blevins,NYM,RP,FA,38,2,3.15,1.23,10
360,Sergio,Valenzuela,Cin,SP,FA,--,--,--,--,--
361,Wesley,Wright,Tex,RP,FA,--,--,--,--,--
362,Matt,Harrison,Phi,SP,FA,--,--,--,--,--
363,Jake,McGee,Col,RP,FA,47,2,4.04,1.33,17
364,Brian,Duensing,ChC,RP,FA,14,1,3.86,1.33,0
365,Collin,Balester,Cin,RP,FA,--,--,--,--,--
366,Justin,Masterson,Bos,"SP,",FA,--,--,--,--,--
367,Burke,Badenhop,Wsh,RP,FA,--,--,--,--,--
368,Chris,Smith,Oak,RP,FA,24,1,4.15,1.38,0
369,Sergio,Romo,FA,RP,ROCK,50,2,3.4,1.07,22
370,Clayton,Richard,SD,SP,FA,96,7,4.13,1.5,0
371,Tommy,Hunter,FA,RP,FA,39,3,3.6,1.24,0
372,Francisley,Bueno,ChC,SP,FA,--,--,--,--,--
373,Phil,Coke,Pit,RP,FA,--,--,--,--,--
374,Wade,LeBlanc,Pit,RP,FA,18,1,4.13,1.33,0
375,Jonathon,Niese,FA,"SP,",FA,80,5,4.74,1.45,0
376,Bobby,Parnell,KC,RP,FA,--,--,--,--,--
377,Jason,Motte,Col,RP,FA,30,2,5.32,1.5,2
378,Kevin,Jepsen,Ari,RP,FA,41,2,4.2,1.38,10
379,Jordan,Walden,FA,RP,FA,15,1,3.21,1.36,0
380,Fernando,Rodriguez,ChC,RP,FA,46,3,3.98,1.26,0
381,Sean,O'Sullivan,Bos,SP,FA,--,--,--,--,--
382,Casey,Fien,Sea,RP,FA,37,2,4.62,1.22,3
383,Arnold,Leon,Tor,RP,FA,--,--,--,--,--
384,Sergio,Santos,NYY,RP,FA,--,--,--,--,--
385,Esmailin,Caridad,ChC,RP,FA,--,--,--,--,--
386,Jess,Todd,Bos,SP,FA,--,--,--,--,--
387,Cesar,Ramos,Phi,RP,FA,--,--,--,--,--
388,Aaron,Thompson,Min,RP,FA,--,--,--,--,--
389,Dale,Thayer,Bal,RP,FA,--,--,--,--,--
390,Lucas,Harrell,Tor,RP,FA,25,2,4.62,1.59,0
391,Brian,Matusz,Ari,RP,FA,--,--,--,--,--
392,Ernesto,Frieri,Phi,RP,FA,--,--,--,--,--
393,Esmil,Rogers,NYY,RP,FA,--,--,--,--,--
394,Cesar,Carrillo,Ari,SP,FA,--,--,--,--,--
395,Ryan,Webb,Mil,RP,FA,--,--,--,--,--
396,Marcos,Mateo,SD,RP,FA,--,--,--,--,--
397,Brett,Anderson,ChC,SP,FA,38,3,4.57,1.39,0
